M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0805488,3.33258,4.98083,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,4.98083,nan,nan,nan,nan,0,0,0,1
1024,1024,1024,0.15535,13.8235,20.6604,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,20.6604,nan,nan,nan,nan,0,0,0,1
2048,2048,2048,0.503141,34.1453,51.033,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,51.033,nan,nan,nan,nan,0,0,0,1
4096,4096,4096,4.07045,33.765,50.4647,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,50.4647,nan,nan,nan,nan,0,0,0,1
