M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.04172,6.43422,9.61649,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,9.61649,0.0148704,18.0517,26.9798,26.9798,9.05991e-06,0.0583732,0,1
1024,1024,1024,0.299122,7.1793,10.7301,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,10.7301,0.0564544,38.0393,56.8529,56.8529,0,0,0,1
2048,2048,2048,2.29336,7.49115,11.1962,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,11.1962,0.338429,50.7636,75.8706,75.8706,0,0,0,1
4096,4096,4096,18.2685,7.52327,11.2442,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,11.2442,2.65696,51.7279,77.3118,77.3118,0,0,0,1
