M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0735744,3.64849,5.45298,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,5.45298,nan,nan,nan,nan,0,0,0,1
1024,1024,1024,0.144406,14.8711,22.2262,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,22.2262,nan,nan,nan,nan,0,0,0,1
2048,2048,2048,0.437907,39.2318,58.6352,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,58.6352,nan,nan,nan,nan,0,0,0,1
4096,4096,4096,3.48404,39.4481,58.9586,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,58.9586,nan,nan,nan,nan,0,0,0,1
