M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0519104,5.17113,7.7287,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,7.7287,0.0159168,16.8649,25.2061,25.2061,9.05991e-06,0.0583732,0,1
1024,1024,1024,0.100717,21.322,31.8676,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,31.8676,0.0576512,37.2496,55.6727,55.6727,0,0,0,1
2048,2048,2048,0.363693,47.2373,70.6002,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,70.6002,0.339142,50.6568,75.711,75.711,0,0,0,1
4096,4096,4096,2.83629,48.4573,72.4237,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,72.4237,2.63958,52.0684,77.8207,77.8207,0,0,0,1
