M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0508909,5.27473,7.88353,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,7.88353,0.0142931,18.7807,28.0694,28.0694,9.05991e-06,0.0583732,0,1
1024,1024,1024,0.0998726,21.5022,32.1369,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,32.1369,0.0560678,38.3015,57.2449,57.2449,0,0,0,1
2048,2048,2048,0.36318,47.3041,70.7,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,70.7,0.338141,50.8069,75.9352,75.9352,0,0,0,1
4096,4096,4096,2.8363,48.4571,72.4233,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,72.4233,2.6414,52.0327,77.7673,77.7673,0,0,0,1
