M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0578918,4.63684,6.93016,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,6.93016,0.014688,18.2758,27.3148,27.3148,0.476115,1762.87,8710,0
1024,1024,1024,0.177626,12.0899,18.0695,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,18.0695,0.0746464,28.7688,42.9974,42.9974,0.537196,2576.53,20311,0
2048,2048,2048,0.763672,22.4964,33.6228,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,33.6228,0.738662,23.2581,34.7612,34.7612,1.10974,23471.1,898039,0
4096,4096,4096,3.13872,43.7883,65.4453,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,65.4453,5.7343,23.9678,35.822,35.822,1.10421,24545.2,1501538,0
