M,N,K,custom_ms,custom_tflops,custom_peak_pct,ideal_dram_bytes,ai_flop_per_byte,hbm_tbps,compute_peak_tflops,mem_roof_tflops,roofline_tflops,roofline_bound,custom_roofline_pct,cublas_ms,cublas_tflops,cublas_peak_pct,cublas_roofline_pct,max_abs,max_rel,bad_count,passed
512,512,512,0.0645357,4.15949,6.21671,3.14573e+06,85.3333,3.35,66.9082,285.867,66.9082,compute,6.21671,0.0143859,18.6596,27.8884,27.8884,9.05991e-06,0.0583732,0,1
1024,1024,1024,0.125863,17.0621,25.5007,1.25829e+07,170.667,3.35,66.9082,571.733,66.9082,compute,25.5007,0.0561357,38.2552,57.1757,57.1757,0,0,0,1
2048,2048,2048,0.451627,38.0399,56.8539,5.03316e+07,341.333,3.35,66.9082,1143.47,66.9082,compute,56.8539,0.338319,50.7801,75.8953,75.8953,0,0,0,1
4096,4096,4096,3.56121,38.5934,57.6811,2.01327e+08,682.667,3.35,66.9082,2286.93,66.9082,compute,57.6811,2.64014,52.0574,77.8042,77.8042,0,0,0,1
